iter	Passed	Remaining
681	19359	9026
682	19391	9000
683	19419	8971
684	19445	8942
685	19471	8912
686	19500	8884
687	19526	8855
688	19554	8826
689	19582	8797
690	19614	8771
691	19647	8744
692	19679	8718
693	19711	8691
694	19739	8662
695	19767	8634
696	19793	8604
697	19820	8575
698	19847	8546
699	19874	8517
700	19902	8488
701	19929	8459
702	19956	8430
703	19983	8402
704	20010	8373
705	20038	8344
706	20064	8315
707	20090	8285
708	20117	8256
709	20143	8227
710	20169	8198
711	20199	8170
712	20224	8141
713	20250	8111
714	20277	8082
715	20304	8053
716	20330	8024
717	20357	7995
718	20384	7966
719	20412	7938
720	20438	7908
721	20465	7880
722	20492	7851
723	20519	7822
724	20546	7793
725	20572	7764
726	20600	7735
727	20626	7706
728	20655	7678
729	20682	7649
730	20709	7620
731	20736	7591
732	20762	7562
733	20790	7534
734	20817	7505
735	20844	7476
736	20870	7447
737	20897	7418
738	20923	7389
739	20950	7360
740	20978	7332
741	21005	7303
742	21032	7274
743	21058	7245
744	21085	7217
745	21113	7188
746	21140	7159
747	21168	7131
748	21194	7102
749	21221	7073
750	21247	7044
751	21274	7016
752	21301	6987
753	21329	6958
754	21356	6930
755	21383	6901
756	21409	6872
757	21435	6843
758	21461	6814
759	21488	6785
760	21517	6757
761	21544	6729
762	21570	6700
763	21597	6671
764	21625	6643
765	21650	6613
766	21677	6585
767	21704	6556
768	21731	6528
769	21759	6499
770	21786	6470
771	21813	6442
772	21842	6414
773	21873	6386
774	21900	6358
775	21928	6329
776	21955	6301
777	21983	6273
778	22011	6244
779	22037	6215
780	22064	6187
781	22091	6158
782	22119	6130
783	22146	6101
784	22173	6072
785	22200	6044
786	22227	6015
787	22254	5987
788	22280	5958
789	22307	5929
790	22334	5901
791	22360	5872
792	22387	5843
793	22414	5815
794	22441	5786
795	22469	5758
796	22496	5730
797	22524	5701
798	22551	5673
799	22579	5644
800	22604	5615
801	22630	5587
802	22658	5558
803	22685	5530
804	22711	5501
805	22739	5473
806	22766	5444
807	22793	5416
808	22821	5387
809	22848	5359
810	22875	5331
811	22902	5302
812	22929	5274
813	22956	5245
814	22983	5217
815	23011	5188
816	23038	5160
817	23065	5131
818	23092	5103
819	23120	5075
820	23146	5046
821	23174	5018
822	23202	4990
823	23228	4961
824	23255	4933
825	23283	4904
826	23311	4876
827	23339	4848
828	23365	4819
829	23391	4791
830	23418	4762
831	23444	4734
832	23471	4705
833	23499	4677
834	23527	4649
835	23554	4620
836	23580	4592
837	23606	4563
838	23633	4535
839	23661	4506
840	23688	4478
841	23714	4450
842	23742	4421
843	23768	4393
844	23794	4364
845	23821	4336
846	23848	4307
847	23875	4279
848	23902	4251
849	23929	4222
850	23956	4194
851	23984	4166
852	24010	4137
853	24037	4109
854	24063	4081
855	24091	4052
856	24118	4024
857	24144	3995
858	24173	3967
859	24200	3939
860	24226	3911
861	24253	3882
862	24280	3854
863	24308	3826
864	24336	3798
865	24363	3769
866	24390	3741
867	24417	3713
868	24443	3684
869	24470	3656
870	24497	3628
871	24523	3599
872	24552	3571
873	24578	3543
874	24605	3515
875	24631	3486
876	24658	3458
877	24685	3430
878	24712	3401
879	24739	3373
880	24765	3345
881	24792	3316
882	24818	3288
883	24845	3260
884	24871	3231
885	24899	3203
886	24926	3175
887	24954	3147
888	24981	3119
889	25008	3090
890	25035	3062
891	25063	3034
892	25090	3006
893	25117	2978
894	25144	2949
895	25174	2921
896	25201	2893
